date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_16_normalized,smart_16_raw,smart_17_normalized,smart_17_raw,smart_18_normalized,smart_18_raw,smart_22_normalized,smart_22_raw,smart_23_normalized,smart_23_raw,smart_24_normalized,smart_24_raw,smart_168_normalized,smart_168_raw,smart_170_normalized,smart_170_raw,smart_173_normalized,smart_173_raw,smart_174_normalized,smart_174_raw,smart_177_normalized,smart_177_raw,smart_179_normalized,smart_179_raw,smart_181_normalized,smart_181_raw,smart_182_normalized,smart_182_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_218_normalized,smart_218_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_231_normalized,smart_231_raw,smart_232_normalized,smart_232_raw,smart_233_normalized,smart_233_raw,smart_235_normalized,smart_235_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw,smart_175_normalized,smart_175_raw,smart_180_normalized,smart_180_raw,smart_202_normalized,smart_202_raw,smart_206_normalized,smart_206_raw,smart_210_normalized,smart_210_raw,smart_234_normalized,smart_234_raw,smart_245_normalized,smart_245_raw,smart_247_normalized,smart_247_raw,smart_248_normalized,smart_248_raw
2020-08-13,ZA21DTWS,ST10000NM0086,10000831348736,0,84.0,234531712.0,,,91.0,0.0,100.0,11.0,100.0,16.0,87.0,555870882.0,,,71.0,25446.0,100.0,0.0,,,100.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,1.0,120.0,67.0,33.0,68.0,64769.0,100.0,355.0,100.0,1299.0,33.0,33.0,84.0,234531712.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,25295.0,100.0,76744246040.0,100.0,216049320096.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-13,ZCH0B9FW,ST12000NM0007,12000138625024,0,82.0,159394560.0,,,92.0,0.0,100.0,7.0,100.0,0.0,88.0,604268256.0,,,74.0,23078.0,100.0,0.0,,,100.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,65.0,35.0,,,100.0,339.0,100.0,1543.0,35.0,35.0,82.0,159394560.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,22700.0,100.0,69797843456.0,100.0,198428133338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-13,ZHZ3N9Z0,ST12000NM0008,12000138625024,0,84.0,228942664.0,,,99.0,0.0,100.0,1.0,100.0,0.0,90.0,892027651.0,,,92.0,7021.0,100.0,0.0,,,100.0,1.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,68.0,32.0,,,100.0,46.0,100.0,840.0,32.0,32.0,1.0,228942664.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,6847.0,100.0,51889614576.0,100.0,119238697230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-13,ZA123E9R,ST8000DM002,8001563222016,0,83.0,187779800.0,,,90.0,0.0,100.0,5.0,100.0,0.0,90.0,1117123381.0,,,60.0,35594.0,100.0,0.0,,,100.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,67.0,33.0,97.0,7438.0,100.0,2.0,81.0,39089.0,33.0,33.0,1.0,187779800.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,35537.0,100.0,80970325208.0,100.0,214738804572.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-13,ZCH07RST,ST12000NM0007,12000138625024,1,66.0,110316864.0,,,89.0,0.0,100.0,15.0,82.0,6136.0,87.0,553329673.0,,,73.0,24037.0,100.0,0.0,,,100.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,231.0,100.0,0.0,,,61.0,39.0,,,100.0,355.0,99.0,3159.0,39.0,39.0,80.0,110316864.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,23120.0,100.0,66770926816.0,100.0,261710257072.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-13,96ICTBPYT,TOSHIBA MQ01ABF050,500107862016,1,100.0,0.0,100.0,0.0,100.0,1423.0,100.0,14.0,100.0,528.0,100.0,0.0,100.0,0.0,23.0,31166.0,100.0,0.0,,,100.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,10.0,100.0,8.0,99.0,12690.0,100.0,36.0,,,100.0,60.0,100.0,8.0,100.0,0.0,200.0,0.0,,,,,,,100.0,0.0,23.0,31154.0,100.0,0.0,100.0,0.0,,,100.0,258.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-13,17OYTGKJT,TOSHIBA MQ01ABF050,500107862016,1,100.0,0.0,100.0,0.0,100.0,2010.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,42.0,23373.0,100.0,0.0,,,100.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,2.0,100.0,2.0,96.0,47343.0,100.0,32.0,,,100.0,0.0,100.0,96.0,100.0,0.0,200.0,0.0,,,,,,,100.0,0.0,42.0,23253.0,100.0,0.0,100.0,0.0,,,100.0,258.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-13,Z304KCSA,ST4000DM000,4000787030016,1,108.0,20375136.0,,,92.0,0.0,100.0,14.0,100.0,0.0,87.0,502228133.0,,,52.0,42510.0,100.0,0.0,,,100.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,14.0,100.0,0.0,63.0,37.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,100.0,0.0,97.0,7924.0,24.0,24.0,,,,,100.0,48.0,100.0,48.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,42403.0,100.0,61156230072.0,100.0,225573944184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-11,4582K1CGFMYB,TOSHIBA MD04ABA400V,4000787030016,0,100.0,0.0,100.0,0.0,100.0,5278.0,100.0,10.0,100.0,0.0,100.0,0.0,100.0,0.0,1.0,40782.0,100.0,0.0,,,100.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,1.0,100.0,399.0,100.0,15.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,100.0,0.0,1.0,40725.0,100.0,0.0,100.0,0.0,,,100.0,379.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-11,ZCH0C1G4,ST12000NM0007,12000138625024,1,71.0,13382376.0,,,94.0,0.0,100.0,5.0,100.0,728.0,89.0,752996030.0,,,82.0,16195.0,100.0,0.0,,,100.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,1.0,100.0,0.0,,,68.0,32.0,,,100.0,302.0,100.0,868.0,32.0,32.0,71.0,13382376.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,16017.0,100.0,55523253720.0,100.0,151277493546.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
